event_id,date,status,severity,scope,summary,evidence,disposition
HLA-A0013,2026-08-20,corrected_in_target,P2,source_math,"Worked answer's initial augmented matrix gives the second equation constant as 3 although the exercise and every subsequent reduction row require -3","src/gr/gr1.tex authority line 2907","Change only that augmented-matrix entry to -3 in the Indonesian target; the resulting reduction and stated solution set replay exactly"
HLA-A0014,2026-08-20,corrected_in_target,P2,source_math,"Vector-form solution omits the plus sign before the free-parameter w vector, making the displayed expression malformed","src/gr/gr1.tex authority line 2949","Insert the missing plus sign in the Indonesian target; the two-parameter solution then satisfies both source equations"
HLA-A0015,2026-08-20,corrected_in_target,P1,source_math,"Farmer exercise takes a=20000/38 and c=0 but reports s=7360/38 approximately 193.68; this violates both the acreage and seed-cost equations","src/gr/gr1.tex authority lines 3071-3072","Use s=25600/38 approximately 673.68 in the Indonesian target; with a=20000/38 the three acreages sum to 1200 and the seed cost is 40000"
HLA-A0016,2026-08-20,corrected_in_target,P2,source_consistency,"Arbuzoid puzzle prose assigns 15 blue and 17 green, while the immediately following R-G-B table, initial vector (13,15,17), and all three target equations assign 15 green and 17 blue","src/gr/gr1.tex authority lines 3321-3358","Make the Indonesian prose agree with the table and equations: 13 red, 15 green, 17 blue; localize the table initials consistently as M-H-B without changing vector coordinate order"
HLA-A0017,2026-08-20,corrected_in_target,P3,source_text,"Olympiad answer says 'Here, is a^2-1 not equal to 0' where the conditional conjunction is plainly mistyped","src/gr/gr1.tex authority line 3442","Render the intended conditional as 'Jika a^2-1 tidak sama dengan 0' in the Indonesian target; formulas and case classification remain unchanged"
HLA-A0018,2026-08-20,corrected_in_target,P1,source_math,"Gold-sphere puzzle states an air mass of 7588 g and submerged-water mass of 6588 g but the answer's mass equation uses 7558; the 1000 cm^3 displacement and both worked compositions require 7588","src/gr/gr1.tex authority lines 3463-3469 and 3492-3507","Change only the answer equation's right side from 7558 to 7588 in the Indonesian target; this matches every stated measurement and the worked volumes"
HLA-A0019,2026-08-20,corrected_in_target,P1,source_math,"Gold-sphere table gives silver relative density 10.8 while the answer equation uses 10.5 and its five-metal numerical example evaluates to 7588 g only with 10.5","src/gr/gr1.tex authority lines 3472-3480 and 3492-3507","Use 10.5 for silver in the Indonesian table, preserving the answer equation and making the supplied composition internally consistent"
HLA-A0020,2026-08-20,corrected_in_target,P2,source_math,"Induction walk-through writes the bottom row's leading term as a_{m,l_m}x_m even though the leading variable is x_{l_m}; in the concrete row m=3 and l_m=4, so x_m would be x_3 rather than x_4","src/gr/gr1.tex authority line 3753","Use a_{m,l_m}x_{l_m}=a_{3,4}x_4 in the Indonesian target; the notation and subsequent substitution then agree"
HLA-A0021,2026-08-20,corrected_in_target,P2,source_completeness,"The farmer exercise asks which of two feasible plans gives greater revenue, but the worked answer only instructs the reader to substitute and never performs the requested comparison","src/gr/gr1.tex authority lines 3073-3074","Evaluate both plans: 680000/3 dollars versus 4640000/19 dollars, so the second plan gives greater revenue"
HLA-A0022,2026-08-20,corrected_in_target,P3,source_precision,"The gold-sphere answer prints rounded one-decimal metal volumes as exact quantities","src/gr/gr1.tex authority lines 3503-3507","Mark the displayed one-decimal compositions as approximate in the Indonesian prose"
HLA-A0023,2026-08-20,corrected_in_target,P1,source_math,"A displayed coefficient matrix for ex:HomoZeroOnlySol gives its second row as (6,-4,0), while the cited system has 6x+4y+0z=0 and its shown reduction relies on +4","src/gr/gr1.tex authority lines 4275-4279 compared with lines 3658-3675","Change only the matrix entry -4 to +4 in the Indonesian target so the matrix actually represents the cited homogeneous system"
HLA-A0024,2026-08-20,corrected_in_target,P1,source_math,"The first worked exercise's augmented matrix writes the second equation constant as +3 although the stated system has x-y=-3 and every subsequent reduction requires -3","src/gr/gr1.tex authority lines 4371-4399","Change only the initial augmented-matrix constant to -3 in the Indonesian target; the shown reduction and solution set then agree"
HLA-A0025,2026-08-20,corrected_in_target,P3,source_text,"The second example introducing the empty general-solution case ends its setup with the incomplete sentence 'This system illustrates.'","src/gr/gr1.tex authority lines 4047-4052","Render the intended reference naturally as 'Sistem berikut mengilustrasikannya' in the Indonesian target"
HLA-A0026,2026-08-20,corrected_in_target,P3,source_text,"The first set-comparison example repeats 'such that' on consecutive lines","src/gr/gr1.tex authority lines 5135-5138","Render the condition once in natural Indonesian"
HLA-A0027,2026-08-20,corrected_in_target,P1,source_math,"The second set-comparison example's final reduced equation is printed as 0=m+(1/2)n, but eliminating y gives 0=-m+(1/2)n; the prose repeats the wrong sign","src/gr/gr1.tex authority lines 5264-5293","Use 0=-m+(1/2)n in both the reduced system and the Indonesian explanation; the supplied witness (0,1,0) remains in R but not P"
HLA-A0028,2026-08-20,corrected_in_target,P1,source_math,"An answer says to triple the vector (2,-5) but prints the generator (6,-55); scalar multiplication gives (6,-15)","src/gr/gr1.tex authority lines 5331-5343","Use (6,-15) in the Indonesian target; this preserves the requested description of the same one-dimensional set"
HLA-A0029,2026-08-20,corrected_in_target,P2,source_math,"In the opening set-comparison example, the first coordinate 2w=4 gives w=2, but the source prose says w=4/5","src/gr/gr1.tex authority lines 5080-5086","Use w=2 in the Indonesian explanation; the third coordinate then correctly demonstrates that the vector is not in the set"
HLA-A0030,2026-08-20,corrected_in_target,P1,source_math,"The first mutual-inclusion example sets c=2 and d=-1 but prints (c+d,-c+d,0) as (3,-3,0) and repeats 3 as the first system right-hand side; c+d is 1","src/gr/gr1.tex authority lines 5134-5149","Use (1,-3,0) and first right-hand side 1 in the Indonesian target"
HLA-A0031,2026-08-20,corrected_in_target,P1,source_math,"Set-membership exercise 1(e) is keyed Yes with k=4,m=-3, but those coefficients produce (11,8,14), not (1,4,14); the first two coordinates force k=2,m=3 and then the third is 16","src/gr/gr1.tex authority lines 5314-5328","Key the answer Tidak and show the contradictory third coordinate"
HLA-A0032,2026-08-20,corrected_in_target,P2,source_math,"The four-variable system reduction changes the third row to rho_3-rho_1 but labels the operation -rho_1+rho_2","src/gr/gr1.tex authority lines 5362-5384","Correct the displayed row-operation label to -rho_1+rho_3; the resulting rows and final solution remain unchanged"
HLA-A0033,2026-08-20,corrected_in_target,P1,source_math,"A Gaussian-reduction display applies rho_3-3rho_2 but leaves the third-row second entry as 3; it must become 0 while the augmented expression becomes -t","src/gr/gr1.tex authority lines 5642-5659","Change only the resulting matrix entry 3 to 0 in the Indonesian target"
HLA-A0034,2026-08-20,corrected_in_target,P2,source_proof,"The Triangle Inequality proof says all quantities being squared are positive, but vector lengths and their sum can be zero; the equivalence under squaring requires only nonnegativity","src/gr/gr2.tex authority Triangle Inequality proof before the first align display","Use tidak negatif in the Indonesian proof; the algebra and equality case remain unchanged"
HLA-A0035,2026-08-20,corrected_in_target,P1,source_math,"The angle corollary says vectors are parallel iff their dot product equals the product of their lengths, excluding oppositely directed scalar multiples under the ordinary meaning of parallel","src/gr/gr2.tex authority corollary co:VectorsOrthogonalIffDoTProductZero","State that equality without absolute value characterizes the same direction, and that parallel vectors satisfy absolute dot product equal to the product of lengths"
HLA-A0036,2026-08-20,corrected_in_target,P1,source_math,"The geometric summary says the solution set of every linear system is a linear surface and a translate of its homogeneous solution set, omitting inconsistent systems whose solution set is empty","src/gr/gr2.tex authority Vectors in Space closing summary","Restrict the affine-translate statements to consistent systems and explicitly identify the inconsistent case as the empty set"
HLA-A0037,2026-08-20,corrected_in_target,P1,source_math,"The source calls a set generated by k direction vectors k-dimensional whenever k<=n, although dependent direction vectors can generate a lower-dimensional surface; its own next example exhibits this","src/gr/gr2.tex authority definition and degenerate-plane example in Vectors in Space","Require linearly independent direction vectors for dimension k and otherwise identify the actual dimension with the dimension of their span"
HLA-A0038,2026-08-20,corrected_in_target,P2,source_definition,"The opening geometric description defines a vector solely as an object with magnitude and direction, which excludes the zero vector because its direction is undefined","src/gr/gr2.tex authority Vectors in Space opening vector definition","Qualify the magnitude-and-direction description as applying to nonzero vectors and define the zero vector componentwise with magnitude zero and undefined direction"
HLA-A0039,2026-08-20,corrected_in_target,P2,source_math,"The source says every two-unknown linear equation is a line and every one-equation solution set is a hyperplane; both fail when all variable coefficients are zero","src/gr/gr2.tex authority Linear Geometry opening and Vectors in Space closing summary","Add the nonzero-coefficient condition to both geometric claims"
HLA-A0040,2026-08-20,corrected_in_target,P1,source_math,"The scalar-multiple length exercise omits a closing parenthesis in the square-root expression and says that for negative r the new vector is r times as long, even though length scales by the nonnegative factor |r|","src/gr/gr2.tex authority Length and Angle Measures exercise on the length and direction of r times v","Close the square-root expression and state that the length is |r| times the original length; preserve the source's direction cases"
HLA-A0041,2026-08-20,corrected_in_target,P3,source_comment,"An inactive source comment describes the illustrated plane as 2x+3y-z=4, contradicting both the active equation 2x+y+z=4 and its vector parameterization","src/gr/gr2.tex authority inactive comment immediately before the first plane illustration","Correct the inactive target comment to 2x+y+z=4 so machine-readable source commentary agrees with the active mathematics"
HLA-A0042,2026-08-20,corrected_in_target,P1,source_math,"The equal-slope display for two line segments uses d_1-a_1 in the second denominator, mixing endpoints from different segments","src/gr/gr2.tex authority Length and Angle Measures exercise comparing line-segment lengths and slopes","Use d_1-c_1 in the second slope denominator"
HLA-A0043,2026-08-20,corrected_in_target,P1,source_logic,"The answer claims that equal length and slope force the two ordered endpoint-difference vectors to be equal, but reversing the endpoints of one segment preserves the geometric segment, length, and slope while negating both differences","src/gr/gr2.tex authority Length and Angle Measures exercise asking whether equality of endpoint differences is necessary","Answer no for the given endpoint order; state that the difference vectors agree only up to a common sign, and explain that equality follows after orienting both nonvertical segments with increasing first coordinate"
HLA-A0044,2026-08-20,corrected_in_target,P2,source_answer,"An exercise explicitly asks for an example in R^2 of equal-length vectors whose sum and difference are perpendicular, but the supplied answer proves the equivalence without giving any example","src/gr/gr2.tex authority Length and Angle Measures exercise on equal norms and perpendicular sum/difference","Add the minimal example u=(1,0), v=(0,1), for which (1,1) dot (1,-1)=0"
HLA-A0045,2026-08-20,corrected_in_target,P2,source_terminology,"An exercise calls the implication perpendicular vectors imply the Pythagorean norm identity the converse of the Pythagorean Theorem, although that implication is the theorem's direct vector form; the converse has the implication reversed","src/gr/gr2.tex authority Length and Angle Measures exercise generalizing the Pythagorean identity","Remove the word converse while retaining and proving the stated implication"
HLA-A0046,2026-08-20,corrected_in_target,P1,source_math,"The angle-bisector exercise includes opposite nonzero vectors, whose normalized sum is the zero vector, and the answer calls that case easy even though the zero vector has no direction and cannot determine an angle bisector","src/gr/gr2.tex authority Length and Angle Measures angle-bisector exercise and answer","Exclude oppositely directed vectors, require the equal-length sum to be nonzero in the generalized proof, and explain why the zero-sum case is undefined"
HLA-A0047,2026-08-20,corrected_in_target,P1,source_math,"The scale-invariance computation defines the second vector with components v_i but uses undefined b_i terms in its norm denominator","src/gr/gr2.tex authority Length and Angle Measures exercise verifying angle behavior under scalar multiplication","Replace b_1 through b_n by v_1 through v_n in the denominator"
HLA-A0048,2026-08-20,corrected_in_target,P2,source_domain,"The apparent-wind answer divides by 1-(a dot b)^2 without stating that the two unit apparent-wind directions must be nonparallel; for parallel directions the denominator vanishes and the given direction data do not determine a unique wind vector","src/gr/gr2.tex authority Length and Angle Measures ship-and-wind puzzle","State the nonparallel condition for the displayed formula and note the loss of uniqueness in the parallel case"
HLA-A0049,2026-08-20,corrected_in_target,P2,source_proof,"The Lagrange-identity exercise says the final sum-of-squares term is positive, but it may be zero; the Cauchy-Schwarz deduction requires only nonnegativity","src/gr/gr2.tex authority Length and Angle Measures final exercise","Use nonnegative rather than positive"
HLA-A0050,2026-08-20,corrected_in_target,P2,source_answer,"The Lagrange-identity exercise asks for a geometric interpretation of the Cauchy-Schwarz gap in R^2, but the supplied answer proves only the algebraic identity and never gives the requested interpretation","src/gr/gr2.tex authority Length and Angle Measures final exercise and answer","State that the gap is (a_1 b_2-a_2 b_1)^2, the squared area of the parallelogram spanned by the two vectors"
HLA-A0051,2026-08-20,corrected_in_target,P3,source_proof,"After giving n=1 as the induction base, the Lagrange-identity proof says to assume cases 0 through n rather than the relevant cases 1 through n","src/gr/gr2.tex authority Length and Angle Measures final exercise answer","State the induction hypothesis for cases 1 through n"
HLA-A0052,2026-08-20,corrected_in_target,P1,source_math,"A Gauss-Jordan solution scales the third row by -1/8 but labels the simultaneous operation as -(1/8)rho_2, which would instead overwrite the second row and cannot produce the displayed matrix","src/gr/gr3.tex authority first Gauss-Jordan exercise answer part d","Change only the operation label from rho_2 to rho_3"
HLA-A0053,2026-08-20,corrected_in_target,P3,source_notation,"The induction proof treats matrix rows as vectors and consistently writes beta and gamma with vector arrows except in its final row-combination formula, where both gamma terms lose their arrows","src/gr/gr3.tex authority Linear Combination Lemma corollary proof","Restore vector arrows on both gamma row vectors"
HLA-A0054,2026-08-20,corrected_in_target,P1,source_domain,"The corollary characterizes same direction and parallelism by dot-product equalities without excluding the zero vector; those equalities hold for zero although its direction is undefined","src/gr/gr2.tex authority angle corollary co:VectorsOrthogonalIffDoTProductZero","Qualify the same-direction and parallel equivalences as applying to two nonzero vectors"
HLA-A0055,2026-08-20,corrected_in_target,P2,source_answer,"The Cauchy-Schwarz equality-condition answer does not explicitly close the zero-vector case and proves only equality implies scalar dependence in the negative-dot-product case, omitting the converse","src/gr/gr2.tex authority exercise exer:EqOfCauchySchwarz answer part b","Handle the zero case explicitly and add the direct calculation proving every scalar-multiple pair attains equality"
HLA-A0056,2026-08-20,corrected_in_target,P2,source_domain,"The scalar-length answer says a negative multiple has opposite direction without excluding the zero vector, whose direction is undefined","src/gr/gr2.tex authority Length and Angle Measures exercise on r times v","State the opposite-direction conclusion only for nonzero v and separately identify the zero case"
HLA-A0057,2026-08-20,corrected_in_target,P2,target_translation,"The first Indonesian rendering of the line-segment correction said the endpoint order was preserved, contradicting both the reversed-endpoint counterexample and the intended unoriented-segment condition","src/gr/gr2.tex Indonesian line-segment answer for A0043","Say that the segment is viewed without orientation so endpoint order may be reversed"
HLA-A0058,2026-08-20,corrected_in_target,P1,source_math,"The exercise asks for the ratio of the two Cauchy-Schwarz sides but divides by the vector-length product without requiring nonzero vectors, and its display omits the absolute value present on the inequality's dot-product side","src/gr/gr2.tex authority Cauchy-Schwarz ratio exercise","Require two nonzero vectors and display |u dot v|/(|u||v|)=|cos theta|"
HLA-A0059,2026-08-20,corrected_in_target,P2,source_proof,"The angle scale-invariance proof divides by both vector lengths without separating the zero-vector cases admitted by the book's right-angle convention","src/gr/gr2.tex authority exercise verifying angle behavior under scalar multiplication","Dispatch the zero-vector cases under the stated convention before performing the nonzero-vector division"
HLA-A0060,2026-08-20,corrected_in_target,P2,source_executability,"The birthday brute-force listing is described as Python but uses Python-2 print statements that fail under current Python and Sage runtimes","src/gr/gr2.tex authority vectologer puzzle Python listing","Convert only the print statements to Python 3 function syntax while preserving the algorithm and localized output"
HLA-A0061,2026-08-20,corrected_in_target,P2,source_answer,"The Lagrange-identity answer calls (a_1 b_2-a_2 b_1)^2 the direct difference between the Cauchy-Schwarz sides, but it is the difference between their squares","src/gr/gr2.tex authority final Length and Angle Measures answer","State explicitly that this is the right-side square minus the left-side square"
HLA-A0062,2026-08-20,corrected_in_target,P3,source_notation,"The Cauchy-Schwarz equality answer introduces v and an unused w before defining u=k v; w plays no role and obscures the quantified variables","src/gr/gr2.tex authority answer to exer:EqOfCauchySchwarz part a","Quantify only k and v before defining u=k v"
HLA-A0063,2026-08-20,corrected_in_target,P2,source_answer,"The row-equivalence classification answer points to a list of possible reduced echelon forms but does not explicitly state which of the six matrices share a class","src/gr/gr3.tex authority exercise classifying six displayed matrices","Add the determined conclusion that a c d and e share one class while b and f each represent a distinct class"
HLA-A0064,2026-08-20,corrected_in_target,P1,source_math,"After correctly solving x=4/5 and y=7/5 the answer reverses the ordered pair to (7/5,4/5), so its proposed test point is not the system solution","src/gr/gr3.tex authority Linear Combination Lemma exercise on equations implied by a system","Use the ordered solution pair (4/5,7/5)"
HLA-A0065,2026-08-20,corrected_in_target,P1,source_math,"The answer claims every equation follows from an inconsistent system and multiplies a row by the variable x; row scaling requires a fixed nonzero scalar and inconsistency alone cannot create arbitrary coefficient vectors","src/gr/gr3.tex authority Linear Combination Lemma exercise on inconsistent systems","Answer not always; explain the coefficient-row-span condition and use the system 0=5 as a counterexample to deriving 3x+2y=4"
HLA-A0066,2026-08-20,corrected_in_target,P1,source_math,"The verification of vector-space axiom 10 for the full 2 by 2 matrix space displays 1A as a matrix with entries sa sb sc sd, introducing an undefined scalar s instead of returning A","src/vs/vs1.tex authority first matrix-space exercise answer","Replace the final matrix by the original entries a b c d"
HLA-A0067,2026-08-20,corrected_in_target,P1,source_notation,"The closure calculation for 2 by 2 matrices whose 2,1 entry is zero places the sum matrix immediately after the addends without an equality sign","src/vs/vs1.tex authority second matrix-space exercise answer","Insert the missing equality sign before the resulting matrix"
HLA-A0068,2026-08-20,corrected_in_target,P2,source_answer,"The answer to the exercise demanding distinct symbols for vector addition and scalar multiplication reverts to ordinary plus and dot symbols in axioms 6 through 8 and contains an unmatched closing parenthesis","src/vs/vs1.tex authority exercise restating the vector-space definition with decorated operation symbols","Use the requested decorated operations consistently in axioms 1 through 10 and remove the unmatched parenthesis"
HLA-A0069,2026-08-20,corrected_in_target,P1,source_answer,"The three-dimensional superhero answer proves the three device vectors reach every (x,y,z) but concludes that they span the plane, contradicting both the ambient space and its own calculation","src/vs/vs1.tex authority spanning-set superhero exercise part c","Conclude that the devices span the entire three-dimensional space and normalize the displayed 3x+-6y+z to 3x-6y+z"
HLA-A0070,2026-08-20,corrected_in_target,P3,source_typo,"The row-equivalence classification answer misspells nonsingular as nonsinglar","src/gr/gr3.tex authority exercise classifying row-equivalence classes of 2 by 2 matrices","Use the correctly spelled Indonesian technical loanword nonsingular"
HLA-A0071,2026-08-20,corrected_in_target,P2,source_cross_reference,"The binary-field answer identifies addition as vector-space condition (2), but addition is condition (1)","src/vs/fields.tex authority binary-field exercise answer","Refer to condition (1)"
HLA-A0072,2026-08-20,corrected_in_target,P1,source_math,"The proof that span(span(S)) is contained in span(S) misindexes every coefficient and vector in its m-th inner combination as c_{1,m} and s_{1,m}","src/vs/vs1.tex authority exercise proving span(span(S))=span(S)","Use c_{m,1},s_{m,1} through c_{m,n_m},s_{m,n_m} for the m-th combination"
HLA-A0073,2026-08-20,corrected_in_target,P1,source_proof,"The iff exercise assumes v is in S even though the forward premise is that v is in span(S), leaving the claimed direction unproved","src/vs/vs1.tex authority exercise on adjoining a vector without enlarging a span","Assume v is in span(S) for the forward direction and state the reverse direction explicitly"
HLA-A0074,2026-08-20,corrected_in_target,P2,source_notation,"The intersection-of-subspaces proof declares w and s but then forms combinations of an undefined v and w","src/vs/vs1.tex authority exercise on intersection and union of subspaces","Declare the two vectors actually used, v and w"
HLA-A0075,2026-08-20,corrected_in_target,P2,source_example,"The union-of-axes counterexample sets the ambient space to R3 but displays two-component vectors","src/vs/vs1.tex authority exercise on union of subspaces","Retain R3 and display both axis vectors with three components"
HLA-A0076,2026-08-20,corrected_in_target,P1,source_math,"The answer claims span(S union T)=span(S) union span(T) iff the raw sets S and T are nested, but equality depends on whether their spans are nested","src/vs/vs1.tex authority exercise on span and set operations","State the correct nested-span condition and prove necessity by subtraction"
HLA-A0077,2026-08-20,corrected_in_target,P1,source_units,"The crystal-grid estimate converts 3.34 Angstrom to 3.34 times 10^-10 centimeters instead of 3.34 times 10^-8 centimeters, inflating the count by a factor of 100","src/vs/crystal.tex authority first exercise answer","Use 3.34 times 10^-8 cm and approximately 2.99 times 10^6 or three million regions"
HLA-A0078,2026-08-20,corrected_in_target,P1,source_math,"The graphite coordinate calculation states c1 approximately 2.74 and then reverses the two coefficients in the displayed displacement","src/vs/crystal.tex authority graphite exercise answer","Use c1 approximately 2.72 and c2 approximately 2.55 in the matching order"
HLA-A0079,2026-08-20,corrected_in_target,P1,source_notation,"The platinum atom-mass expression lacks denominator grouping and therefore conventionally denotes multiplication by 10^23 despite giving a 10^-22 result","src/vs/crystal.tex authority platinum exercise answer","Write 195.08 divided by the grouped quantity 6.022 times 10^23"
HLA-A0080,2026-08-20,corrected_in_target,P2,source_notation,"A corollary removes v from S using set notation around the scalar v rather than the vector v","src/vs/vs2.tex authority corollary on removing a dependent vector","Use S minus the singleton containing vector v"
HLA-A0081,2026-08-20,corrected_in_target,P2,source_notation,"A dependence proof inconsistently writes malformed vector subscripts such as vec{s_i} and vec{s_1}","src/vs/vs2.tex authority proof on dependent sets and spans","Use consistently subscripted vectors vec{s}_i and vec{s}_1"
HLA-A0082,2026-08-20,corrected_in_target,P2,source_notation,"An answer names sets S and T but later claims dependence for the undefined union S_1 union S_2","src/vs/vs2.tex authority exercise on unions of dependent sets","Use the declared union S union T"
HLA-A0083,2026-08-20,corrected_in_target,P2,source_logic,"The three directions in the answer characterizing when a union of independent sets is independent are mislabeled if and only-if","src/vs/vs2.tex authority exercise on unions of independent sets","Label each proof direction according to the actual implication proved"
HLA-A0084,2026-08-20,corrected_in_target,P3,source_cross_reference,"A referenced result is a corollary but is invoked with the theorem cross-reference wrapper","src/vs/vs2.tex authority reference to cor:LDMeansLC","Use the corollary cross-reference wrapper"
HLA-A0085,2026-08-20,corrected_in_target,P1,source_math,"The 2 by 2 independence calculation divides (-cb+ad) by d although solving the first equation requires division by a and then concludes only that a solution exists rather than that it is trivial","src/vs/vs2.tex authority exercise characterizing independent matrix rows","Use denominator a and conclude that only the trivial solution exists under the stated nonzero determinant condition"
HLA-A0086,2026-08-20,corrected_in_target,P1,source_math,"The 3 by 3 determinant-style independence proof uses the wrong sign in its clearing row operation and reverses nonsingularity tests by requiring determinant expressions to equal zero","src/vs/vs2.tex authority exercise characterizing independent rows of a 3 by 3 matrix","Correct the row-operation sign and require the relevant determinant expressions to be nonzero"
HLA-A0087,2026-08-20,corrected_in_target,P1,source_math,"The criterion for two vectors in R3 writes three pairwise minors equal to one another rather than requiring each minor to equal zero","src/vs/vs2.tex authority exercise characterizing dependence of two vectors in R3","State ae-bd=ah-gb=dh-ge=0"
HLA-A0088,2026-08-20,corrected_in_target,P1,source_math,"The necessary-and-sufficient voting-cycle answer uses strict triangle inequalities even though the chapter explicitly counts zero group totals as a majority cycle","src/vs/voting.tex authority answer to exercise exer:VoterCondNotSuff part c","Replace all three strict bounds by non-strict inequalities so equality cases remain included"
HLA-A0089,2026-08-20,corrected_in_target,P3,source_typo,"The prose describing the necessary condition says all three spin instead of all three spins","src/vs/voting.tex authority paragraph following the voting-cycle theorem","Use natural Indonesian plural phrasing for the three spins"
HLA-A0090,2026-08-20,corrected_in_target,P3,source_typo,"An answer refers to the singular quoted requirement as the criteria in the question","src/vs/voting.tex authority answer to exercise exer:VoterCondNotSuff part a","Use the grammatically natural singular Indonesian term kriteria"
HLA-A0091,2026-08-20,corrected_in_target,P3,source_typo,"An exercise forms the plural of zero with an apostrophe as zero's","src/vs/voting.tex authority exercise on two-voter majority cycles","Render the phrase naturally as nilai nol"
HLA-A0092,2026-08-20,corrected_in_target,P3,source_typo,"The final exercise omits the article in is also subspace of R3","src/vs/voting.tex authority exercise exer:PerpIsSubSp","Render the statement naturally as juga merupakan subruang dari R3"
HLA-A0093,2026-08-20,corrected_in_target,P1,source_math,"The pendulum dimensionless-product family changes the declared gravitational-acceleration variable from g to an undefined a in the exponentiated product","src/vs/dimen.tex authority paragraph immediately after the pendulum solution set","Use g^{p_4}, consistently with the quantity table, dimensional equation, solution, and resulting Pi product"
HLA-A0094,2026-08-20,corrected_in_target,P2,source_attribution,"The historical wave-analysis example misspells Lord Rayleigh's surname as Raleigh","src/vs/dimen.tex authority introduction to the deep-water wave example","Use Lord Rayleigh"
HLA-A0095,2026-08-20,corrected_in_target,P3,source_typo,"The orbital-period example says a relationship is stateable this form, omitting the preposition in","src/vs/dimen.tex authority sentence introducing the orbital-period formula","Render naturally as dapat dinyatakan dalam bentuk berikut"
HLA-A0096,2026-08-20,corrected_in_target,P3,source_typo,"The vector-space exercise says raising such the product instead of raising such a product","src/vs/dimen.tex authority exercise exer:DimLessProdsVecSp","Render naturally as pemangkatan hasil kali tersebut"
HLA-A0097,2026-08-20,corrected_in_target,P3,source_typo,"The final answer duplicates the article in relating the the length of arc","src/vs/dimen.tex authority answer to exercise exer:AppsAndOranges part c","Render naturally with a single Indonesian noun phrase for the arc length"
HLA-A0098,2026-08-20,corrected_in_target,P1,source_code,"A stray semicolon terminates the partial-pivoting if statement so max is reassigned on every iteration regardless of the comparison","src/gr/ppivot.tex authority second C listing","Remove the semicolon after the if condition so the guarded assignment implements the described maximum search"
HLA-A0099,2026-08-20,corrected_in_target,P3,source_index,"The partial-pivoting definition is indexed under pivoting full","src/gr/ppivot.tex authority definition of partial pivoting","Index the passage under pemivotan parsial"
HLA-A0100,2026-08-20,corrected_in_target,P1,source_math,"The first exercise says two decimal places although its answer uses significant-digit arithmetic and writes 253 rounded to two significant digits as 0.25 times 10^2 instead of 0.25 times 10^3","src/gr/ppivot.tex authority first exercise and answer","State the two-significant-digit restriction and use 0.25 times 10^3 on both sides of the displayed sum"
