term_id,english,preferred_id,variants,rejected,scope,status,evidence,notes
HLA-T0019,leading entry,entri utama,,,global,admitted,"src/gr/gr1.tex","First nonzero entry of a nonzero row"
HLA-T0020,augmented matrix,matriks teraugmentasi,"matriks diperbesar",,global,admitted,"src/gr/gr1.tex","Vertical-bar coefficient/constant matrix"
HLA-T0021,column vector,vektor kolom,,,global,admitted,"src/gr/gr1.tex","Single-column matrix"
HLA-T0022,row vector,vektor baris,,,global,admitted,"src/gr/gr1.tex","Single-row matrix"
HLA-T0023,vector component,komponen vektor,,,global,admitted,"src/gr/gr1.tex","Vector entries"
HLA-T0024,zero vector,vektor nol,,,global,admitted,"src/gr/gr1.tex","Size inferred from context"
HLA-T0025,vector sum,jumlah vektor,"penjumlahan vektor",,global,admitted,"src/gr/gr1.tex","Componentwise addition"
HLA-T0026,scalar multiplication,perkalian skalar,,,global,admitted,"src/gr/gr1.tex","Do not confuse with hasil kali skalar"
HLA-T0027,particular solution,solusi partikular,"solusi khusus",,global,admitted,"src/gr/gr1.tex","Fixed solution vector separated from parameter terms"
HLA-T0028,vector is in a set,vektor berada dalam himpunan,"vektor merupakan anggota himpunan",,global,admitted,"src/gr/gr1.tex","Use berada dalam for reader prompts; the backend concept is locale-neutral vector-set-membership"
HLA-T0029,transpose,transpos,"transpose",,global,admitted,"src/gr/gr1.tex","Use transpos consistently in definitions, prose, and index entries"
HLA-T0030,linear-system modeling,pemodelan sistem linear,"pemodelan dengan sistem linear",,global,admitted,"src/gr/gr1.tex","Backend concept for application problems derived from linear constraints"
HLA-T0031,homogeneous,homogen,"homogenus",,global,admitted,"src/gr/gr1.tex","Use for homogeneous equations and systems; tak homogen for nonhomogeneous"
HLA-T0032,mathematical induction,induksi matematika,,,global,admitted,"src/gr/gr1.tex","Proof strategy with a base step and an inductive step"
HLA-T0033,inductive hypothesis,hipotesis induksi,,,global,admitted,"src/gr/gr1.tex","Assumption used in the inductive step"
HLA-T0034,leading variable,variabel utama,"variabel pemimpin",,global,admitted,"src/gr/gr1.tex","Variable corresponding to a row's leading entry"
HLA-T0035,unrestricted linear combination,kombinasi linear tanpa pembatasan,"kombinasi linear tak terbatas",,global,admitted,"src/gr/gr1.tex","Coefficients are arbitrary; the combination itself is finite"
HLA-T0036,generated by,dibangkitkan oleh,,,global,admitted,"src/gr/gr1.tex","Relation between a vector set and its unrestricted linear combinations"
HLA-T0037,spanned by,direntang oleh,,,global,admitted,"src/gr/gr1.tex","Use rentang as the noun span"
HLA-T0038,mutual set inclusion,inklusi timbal balik,"inklusi himpunan mutual",,global,admitted,"src/gr/gr1.tex","Prove set equality by both subset directions"
HLA-T0039,nonsingular,nonsingular,"tak singular",,global,admitted,"src/gr/gr1.tex","Standard matrix classification; preserve as one word"
HLA-T0040,singular,singular,,,global,admitted,"src/gr/gr1.tex","Square coefficient matrix whose homogeneous system has infinitely many solutions"
HLA-T0041,lemma,lema,"lemma",,global,admitted,"src/gr/gr1.tex; src/sty/bookjhconcrete.sty","Use the Indonesian mathematical form in prose, headings, and cross-references; preserve the LaTeX environment name"
HLA-T0042,proof,bukti,"pembuktian as heading",,global,admitted,"src/sty/bookjhconcrete.sty","Use bukti for the rendered theorem-environment heading; pembuktian remains natural in running prose"
HLA-T0043,proper subset,himpunan bagian sejati,"subhimpunan sejati",,global,admitted,"src/gr/gr1.tex","Strict subset; distinguish from ordinary himpunan bagian"
HLA-T0044,set equality,kesamaan himpunan,,,global,admitted,"src/gr/gr1.tex","Prove by mutual set inclusion"
HLA-T0045,linear geometry,geometri linear,"geometri linier",,global,admitted,"src/gr/gr2.tex","Follow the edition-wide use of linear in mathematical compounds"
HLA-T0046,magnitude,besar,"magnitudo",,vector_geometry,admitted,"src/gr/gr2.tex","Use besar when paired with direction; magnitudo may appear only when technical disambiguation is needed"
HLA-T0047,free vector,vektor bebas,,,global,admitted,"src/gr/gr2.tex","A vector not anchored to a particular starting point"
HLA-T0048,canonical position,posisi kanonis,"posisi natural; posisi standar",,global,admitted,"src/gr/gr2.tex","Preferred name among the three source synonyms; retain the translated synonyms where introduced"
HLA-T0049,vector displacement,perpindahan vektor,"pergeseran vektor",,vector_geometry,admitted,"src/gr/gr2.tex","Use perpindahan for the directed change represented by a free vector"
HLA-T0050,direction vector,vektor arah,,,global,admitted,"src/gr/gr2.tex","Parameter-associated vector giving the direction of a line or surface"
HLA-T0051,parallelogram rule,aturan jajar genjang,"aturan jajargenjang",,global,admitted,"src/gr/gr2.tex","Geometric rule for vector addition; use standard two-word spelling"
HLA-T0052,linear surface,permukaan linear,,,global,admitted,"src/gr/gr2.tex","Preserve the source text's chosen geometric term rather than silently recasting it as affine subspace"
HLA-T0053,k-flat,ruang datar berdimensi k,"flat-k; bidang-k",,vector_geometry,admitted,"src/gr/gr2.tex","Use the explicit dimension phrase rather than an opaque coined compound"
HLA-T0054,hyperplane,hiperbidang,,,global,admitted,"src/gr/gr2.tex","A linear surface whose dimension is one less than the ambient space"
HLA-T0055,degenerate,degenerat,"terdegenerasi",,global,admitted,"src/gr/gr2.tex","Use the established mathematical adjective for a purported surface whose actual dimension is lower"
HLA-T0056,length,panjang,"norma",,vector_geometry,admitted,"src/gr/gr2.tex","Use panjang for the geometric quantity defined by the square root of the sum of squared components"
HLA-T0057,normalize,menormalisasi,"menormalkan",,global,admitted,"src/gr/gr2.tex","Scale a nonzero vector to length one"
HLA-T0058,dot product,hasil kali titik,"produk titik",,global,admitted,"src/gr/gr2.tex","Primary name for the real-valued componentwise product sum"
HLA-T0059,inner product,hasil kali dalam,"produk dalam",,global,admitted,"src/gr/gr2.tex","Source-introduced synonym for hasil kali titik in this chapter"
HLA-T0060,scalar product,hasil kali skalar,"produk skalar",,global,admitted,"src/gr/gr2.tex","Source-introduced synonym for hasil kali titik"
HLA-T0061,Triangle Inequality,Ketaksamaan Segitiga,,,global,admitted,"src/gr/gr2.tex","The length of a vector sum is at most the sum of the lengths"
HLA-T0062,Cauchy-Schwarz Inequality,Ketaksamaan Cauchy--Schwarz,,,global,admitted,"src/gr/gr2.tex","Preserve the two-name theorem attribution and en-dash typography in rendered text"
HLA-T0063,angle,sudut,,,vector_geometry,admitted,"src/gr/gr2.tex","Angle defined through arccos of normalized dot product"
HLA-T0064,orthogonal,ortogonal,"tegak lurus",,global,admitted,"src/gr/gr2.tex","Use ortogonal as the technical term; introduce tegak lurus as its geometric synonym"
HLA-T0065,parallel,sejajar,"searah",,vector_geometry,admitted,"src/gr/gr2.tex","Distinguish sejajar from searah; equal normalized dot product characterizes searah, while its absolute value characterizes sejajar"
HLA-T0066,echelon form,bentuk eselon,,,global,admitted,"src/gr/gr3.tex","Established matrix-reduction term"
HLA-T0067,reduced echelon form,bentuk eselon tereduksi,,,global,admitted,"src/gr/gr3.tex","Distinguish from ordinary bentuk eselon"
HLA-T0068,Gauss-Jordan Method,Metode Gauss--Jordan,"reduksi Gauss--Jordan",,global,admitted,"src/gr/gr3.tex","Use Metode for the named procedure and reduksi for the operation/process"
HLA-T0069,pivoting,pemivotan,,,matrix_reduction,admitted,"src/gr/gr3.tex","Using one entry to clear the remaining entries of its column"
HLA-T0070,row equivalent,ekuivalen baris,"ekuivalensi baris",,global,admitted,"src/gr/gr3.tex","Adjectival relation; use ekuivalensi baris as the noun"
HLA-T0071,row equivalence class,kelas ekuivalensi baris,,,global,admitted,"src/gr/gr3.tex","Equivalence class under elementary row operations"
HLA-T0072,scalar,skalar,,,global,admitted,"src/vs/vs1.tex","A field element used in scalar multiplication"
HLA-T0073,additive inverse,invers aditif,"lawan aditif",,global,admitted,"src/vs/vs1.tex","Use invers aditif as the formal term"
HLA-T0074,closure,ketertutupan,"tertutup terhadap",,global,admitted,"src/vs/vs1.tex","Use ketertutupan as the noun and tertutup terhadap in predicates"
HLA-T0075,inherited operations,operasi yang diwarisi,"mewarisi operasi",,vector_spaces,admitted,"src/vs/vs1.tex","Operations restricted from an ambient vector space"
HLA-T0076,subspace,subruang,,,global,admitted,"src/vs/vs1.tex","A subset that is a vector space under inherited operations"
HLA-T0077,proper subspace,subruang sejati,,,vector_spaces,admitted,"src/vs/vs1.tex","A subspace unequal to the entire ambient space"
HLA-T0078,spanning set,himpunan perentang,"merentang",,vector_spaces,admitted,"src/vs/vs1.tex","Use perentang as the noun and merentang as the verb"
HLA-T0079,span,rentang,"merentang",,vector_spaces,admitted,"src/vs/vs1.tex","Use rentang for the set of all linear combinations and merentang as the verb"
HLA-T0080,linear closure,penutupan linear,"rentang",,vector_spaces,admitted,"src/vs/vs1.tex","Alternative term introduced alongside rentang"
HLA-T0081,basis,basis,,,global,admitted,"src/vs/vs3.tex","Ordered linearly independent spanning sequence"
HLA-T0082,standard basis,basis standar,"basis alami",,vector_spaces,admitted,"src/vs/vs3.tex","Use basis alami only where the source explicitly says natural basis"
HLA-T0083,representation,representasi,,,vector_spaces,admitted,"src/vs/vs3.tex","Coordinate column of a vector with respect to a basis"
HLA-T0084,coordinates,koordinat,,,global,admitted,"src/vs/vs3.tex","Coefficients of a vector relative to an ordered basis"
HLA-T0085,finite-dimensional,berdimensi hingga,,,global,admitted,"src/vs/vs3.tex","A vector space having a finite basis"
HLA-T0086,dimension,dimensi,,,global,admitted,"src/vs/vs3.tex","Number of vectors in any basis"
HLA-T0087,Exchange Lemma,Lema Pertukaran,,,vector_spaces,admitted,"src/vs/vs3.tex","Named result allowing one basis vector to be exchanged"
HLA-T0088,field,lapangan,,,algebraic_structures,admitted,"src/vs/fields.tex","Scalar system used in the vector-space axioms"
HLA-T0089,symmetric matrix,matriks simetris,,,global,admitted,"src/vs/vs3.tex","Square matrix equal to its transpose"
HLA-T0090,row space,ruang baris,,,linear_systems,admitted,"src/vs/vs3.tex","Span of the rows of a matrix"
HLA-T0091,row rank,rank baris,,,linear_systems,admitted,"src/vs/vs3.tex","Dimension of the row space"
HLA-T0092,column space,ruang kolom,,,linear_systems,admitted,"src/vs/vs3.tex","Span of the columns of a matrix"
HLA-T0093,column rank,rank kolom,,,linear_systems,admitted,"src/vs/vs3.tex","Dimension of the column space"
HLA-T0094,transpose,transpos,"mentransposkan",,global,admitted,"src/vs/vs3.tex","Matrix obtained by interchanging rows and columns"
HLA-T0095,full row rank,rank baris penuh,,,linear_systems,admitted,"src/vs/vs3.tex","Row rank equal to the number of rows"
HLA-T0096,full column rank,rank kolom penuh,,,linear_systems,admitted,"src/vs/vs3.tex","Column rank equal to the number of columns"
HLA-T0097,sum of subspaces,jumlah subruang,,,vector_spaces,admitted,"src/vs/vs3.tex","Span of the union of the subspaces"
HLA-T0098,concatenation,konkatenasi,"mengonkatenasikan",,global,admitted,"src/vs/vs3.tex","Joining ordered sequences into one sequence"
HLA-T0099,independent subspaces,subruang-subruang bebas,"koleksi subruang bebas",,vector_spaces,admitted,"src/vs/vs3.tex","No nonzero vector from one subspace is a combination of vectors from the others"
HLA-T0100,direct sum,jumlah langsung,"jumlah langsung internal",,vector_spaces,admitted,"src/vs/vs3.tex","Sum of an independent collection of subspaces"
HLA-T0101,complementary subspaces,subruang-subruang komplementer,"komplemen",,vector_spaces,admitted,"src/vs/vs3.tex","Two subspaces whose direct sum is the ambient space"
HLA-T0102,antisymmetric matrix,matriks antisimetris,,,global,admitted,"src/vs/vs3.tex","Matrix whose transpose is its negative"
HLA-T0103,projection,proyeksi,,,global,admitted,"src/map/map6.tex","Linear-algebra operation that retains one component of a direct-sum decomposition"
HLA-T0104,orthogonal projection,proyeksi ortogonal,,,global,admitted,"src/map/map6.tex","Projection along an orthogonal complement; use proyeksi ke for projection into"
HLA-T0105,mutually orthogonal,saling ortogonal,"ortogonal satu sama lain",,inner_product_spaces,admitted,"src/map/map6.tex","Every two distinct vectors in the collection have zero dot product"
HLA-T0106,orthogonal basis,basis ortogonal,,,inner_product_spaces,admitted,"src/map/map6.tex","Basis whose vectors are mutually orthogonal"
HLA-T0107,orthonormal basis,basis ortonormal,,,inner_product_spaces,admitted,"src/map/map6.tex","Orthogonal basis whose vectors all have unit length"
HLA-T0108,Gram-Schmidt orthogonalization,ortogonalisasi Gram--Schmidt,"proses Gram--Schmidt",,inner_product_spaces,admitted,"src/map/map6.tex","Procedure converting a basis to an orthogonal basis of the same subspace"
HLA-T0109,orthogonal complement,komplemen ortogonal,,,inner_product_spaces,admitted,"src/map/map6.tex","Subspace of vectors perpendicular to every vector in the given subspace"
HLA-T0110,Bessel's Inequality,Ketaksamaan Bessel,,,inner_product_spaces,admitted,"src/map/map6.tex","Bounds the sum of squared orthonormal projection coefficients by the squared vector length"
HLA-T0111,upper triangular matrix,matriks segitiga atas,,,matrices,admitted,"src/map/map6.tex","Matrix whose entries below the main diagonal are zero"
HLA-T0112,Fundamental Theorem of Linear Algebra,Teorema Fundamental Aljabar Linear,,,linear_maps,admitted,"src/map/map6.tex","Named source result relating a linear map's null space to the span of its matrix rows"
HLA-T0113,null space,ruang nol,kernel,"ruang kosong",linear_maps,admitted,"src/map/map2.tex; DOI 10.21070/2020/978-623-6833-41-4 PDF p. 145","A null space always contains the zero vector; reject the fallback source's mathematically misleading ruang kosong"
HLA-T0114,nullity,nulitas,kekosongan,nullitas,linear_maps,admitted,"src/map/map2.tex; DOI 10.21070/2020/978-623-6833-41-4 PDF p. 148","Dimension of the null space; retain normalized Indonesian nulitas"
